,Unnamed: 0,ItemId,Quantity,Time,UserId
0,126,20719,10,37.14374999999745,12347
1,129,21731,12,37.14374999999745,12347
2,106,21791,24,90.15069444444634,12347
3,68,22195,12,207.07083333333503,12347
4,87,22196,24,143.97500000000218,12347
5,108,22371,8,90.15069444444634,12347
6,110,22374,4,90.15069444444634,12347
7,111,22375,4,90.15069444444634,12347
8,73,22376,4,116.92013888888869,12347
9,113,22423,3,90.15069444444634,12347
10,76,22492,36,207.07083333333503,12347
11,48,22497,4,70.84236111111022,12347
12,90,22725,4,143.97500000000218,12347
13,50,22726,4,277.91319444444525,12347
14,114,22727,8,90.15069444444634,12347
15,52,22728,4,277.91319444444525,12347
16,154,23084,48,37.14374999999745,12347
17,116,23146,4,90.15069444444634,12347
18,122,47559B,10,90.15069444444634,12347
19,123,84558A,36,90.15069444444634,12347
20,124,84991,24,90.15069444444634,12347
21,125,84992,24,90.15069444444634,12347
22,211,POST,1,173.10138888889014,12348
23,359,22779,4,8.016666666668243,12352
24,360,22780,4,8.016666666668243,12352
25,337,84050,12,5.005555555555475,12352
26,329,M,1,0.0,12352
27,384,POST,1,35.985416666664605,12352
28,520,21843,4,222.83819444444634,12356
29,521,22423,4,222.83819444444634,12356
30,841,22423,6,0.0,12359
31,793,22699,6,132.01458333333358,12359
32,826,82484,6,132.01458333333358,12359
33,985,20676,8,60.216666666663514,12360
34,990,21559,6,60.216666666663514,12360
35,998,22326,6,60.216666666663514,12360
36,999,22328,6,60.216666666663514,12360
37,1000,22352,6,60.216666666663514,12360
38,1005,23008,4,60.216666666663514,12360
39,1012,POST,2,60.216666666663514,12360
40,1156,20726,10,47.87638888888796,12362
41,1190,20750,4,69.15000000000146,12362
42,1109,21561,6,166.2229166666657,12362
43,1198,22326,6,13.10347222222299,12362
44,1230,22328,12,56.046527777778465,12362
45,1231,22352,12,14.968055555555111,12362
46,1144,22554,12,35.10416666666788,12362
47,1234,22629,12,14.968055555555111,12362
48,1170,22630,12,60.97986111111095,12362
49,1237,22659,12,23.773611111109858,12362
50,1172,22662,10,60.97986111111095,12362
51,1208,22727,4,28.0715277777781,12362
52,1317,POST,4,32.27291666666861,12362
53,1431,POST,2,32.777083333332484,12364
54,1584,18097C,6,223.0854166666668,12370
55,1589,20969,4,223.0854166666668,12370
56,1590,20970,4,223.0854166666668,12370
57,1614,22568,4,223.0854166666668,12370
